Month,Price
Dec 1991,40.52
Jan 1992,40.23
Feb 1992,41.09
Mar 1992,41.17
Apr 1992,44.09
May 1992,45.57
Jun 1992,47.92
Jul 1992,45.31
Aug 1992,43.65
Sep 1992,44.89
Oct 1992,45.26
Nov 1992,44.15
Dec 1992,41.83
Jan 1993,40.55
Feb 1993,43.04
Mar 1993,43.42
Apr 1993,42.29
May 1993,41.56
Jun 1993,39.91
Jul 1993,38.14
Aug 1993,37.97
Sep 1993,36.11
Oct 1993,37.83
Nov 1993,35.18
Dec 1993,31.29
Jan 1994,33.44
Feb 1994,32.12
Mar 1994,31.64
Apr 1994,34.97
May 1994,37.64
Jun 1994,39.14
Jul 1994,40.14
Aug 1994,37.84
Sep 1994,35.72
Oct 1994,36.16
Nov 1994,37.91
Dec 1994,36.03
Jan 1995,37.34
Feb 1995,38.27
Mar 1995,36.64
Apr 1995,38.6
May 1995,38.35
Jun 1995,35.95
Jul 1995,33.43
Aug 1995,35.39
Sep 1995,36.63
Oct 1995,35.01
Nov 1995,36.47
Dec 1995,39.14
Jan 1996,39.28
Feb 1996,39.08
Mar 1996,43.12
Apr 1996,46.37
May 1996,42.87
Jun 1996,41.7
Jul 1996,43.72
Aug 1996,44.89
Sep 1996,49.56
Oct 1996,52.76
Nov 1996,49.66
Dec 1996,52.99
Jan 1997,53.34
Feb 1997,48.07
Mar 1997,45.69
Apr 1997,42.52
May 1997,45.59
Jun 1997,42.04
Jul 1997,43.43
Aug 1997,45.01
Sep 1997,44.67
Oct 1997,47.63
Nov 1997,45.23
Dec 1997,41.28
Jan 1998,36.33
Feb 1998,34.03
Mar 1998,31.9
Apr 1998,32.29
May 1998,33.69
Jun 1998,30.36
Jul 1998,31
Aug 1998,30.54
Sep 1998,32.8
Oct 1998,30.6
Nov 1998,27.71
Dec 1998,24.09
Jan 1999,26.14
Feb 1999,25.24
Mar 1999,30.59
Apr 1999,37.66
May 1999,38.77
Jun 1999,39.31
Jul 1999,45.41
Aug 1999,48.05
Sep 1999,52.73
Oct 1999,51.8
Nov 1999,57.07
Dec 1999,59.06
Jan 2000,59.63
Feb 2000,65.42
Mar 2000,66.34
Apr 2000,56.79
May 2000,67.35
Jun 2000,72.15
Jul 2000,68.97
Aug 2000,72.87
Sep 2000,80.36
Oct 2000,79.17
Nov 2000,81.7
Dec 2000,63.26
Jan 2001,64.56
Feb 2001,68.24
Mar 2001,63.4
Apr 2001,65.63
May 2001,70.74
Jun 2001,69.92
Jul 2001,64.28
Aug 2001,65.64
Sep 2001,63.12
Oct 2001,52.57
Nov 2001,47.77
Dec 2001,47.55
Jan 2002,49.58
Feb 2002,52.03
Mar 2002,61.34
Apr 2002,65.64
May 2002,65.23
Jun 2002,61.09
Jul 2002,62.78
Aug 2002,65.72
Sep 2002,69.38
Oct 2002,67.74
Nov 2002,60.4
Dec 2002,67.45
Jan 2003,72.89
Feb 2003,77.81
Mar 2003,71.81
Apr 2003,60.68
May 2003,60.03
Jun 2003,63.94
Jul 2003,66.28
Aug 2003,69.46
Sep 2003,62.54
Oct 2003,65.68
Nov 2003,65.81
Dec 2003,66.16
Jan 2004,68.05
Feb 2004,67.85
Mar 2004,74.06
Apr 2004,74.83
May 2004,83.74
Jun 2004,78.65
Jul 2004,83.3
Aug 2004,93.07
Sep 2004,91.88
Oct 2004,102.44
Nov 2004,90.04
Dec 2004,82.11
Jan 2005,91.39
Feb 2005,94.73
Mar 2005,108.14
Apr 2005,108.67
May 2005,103.67
Jun 2005,119.08
Jul 2005,126.04
Aug 2005,136.7
Sep 2005,136.43
Oct 2005,130.48
Nov 2005,125.09
Dec 2005,127.72
Jan 2006,139.48
Feb 2006,134.83
Mar 2006,137.27
Apr 2006,151.89
May 2006,149.63
Jun 2006,149.83
Jul 2006,158.95
Aug 2006,156.6
Sep 2006,136.17
Oct 2006,127.44
Nov 2006,126.58
Dec 2006,131.15
Jan 2007,116.85
Feb 2007,124.72
Mar 2007,130.38
Apr 2007,138.96
May 2007,139.33
Jun 2007,146.3
Jul 2007,155.94
Aug 2007,148.7
Sep 2007,161.06
Oct 2007,170.51
Nov 2007,186.79
Dec 2007,184.76
Jan 2008,185.82
Feb 2008,190.65
Mar 2008,202.05
Apr 2008,215.5
May 2008,245.1
Jun 2008,263.49
Jul 2008,264.61
Aug 2008,234.58
Sep 2008,208.16
Oct 2008,155.62
Nov 2008,117.93
Dec 2008,87.29
Jan 2009,93.86
Feb 2009,91.37
Mar 2009,102.36
Apr 2009,109.58
May 2009,124.15
Jun 2009,145.27
Jul 2009,135.32
Aug 2009,148.97
Sep 2009,140.53
Oct 2009,151.23
Nov 2009,157.29
Dec 2009,153.65
Jan 2010,160.03
Feb 2010,157.63
Mar 2010,168.42
Apr 2010,179.93
May 2010,165.69
Jun 2010,165.14
Jul 2010,160.71
Aug 2010,162.19
Sep 2010,161.72
Oct 2010,168.87
Nov 2010,175.61
Dec 2010,190.3
Jan 2011,194.39
Feb 2011,202.93
Mar 2011,223.07
Apr 2011,236.05
May 2011,219.71
Jun 2011,214.77
Jul 2011,219.52
Aug 2011,203.03
Sep 2011,208.9
Oct 2011,206.16
Nov 2011,218.33
Dec 2011,218.88
Jan 2012,225.89
Feb 2012,236.12
Mar 2012,248.16
Apr 2012,239.28
May 2012,220.83
Jun 2012,194.36
Jul 2012,208.47
Aug 2012,225.86
Sep 2012,224.39
Oct 2012,217.89
Nov 2012,214.74
Dec 2012,213.42
Jan 2013,222.01
Feb 2013,228.81
Mar 2013,221.55
Apr 2013,213.31
May 2013,215.01
Jun 2013,213.78
Jul 2013,226.91
Aug 2013,230.85
Sep 2013,231.74
Oct 2013,222.32
Nov 2013,217.61
Dec 2013,222.57
Jan 2014,216.11
Feb 2014,220.88
Mar 2014,218.15
Apr 2014,219.94
May 2014,221.71
Jun 2014,228.15
Jul 2014,221.56
Aug 2014,212.79
Sep 2014,207.61
Oct 2014,188.07
Nov 2014,170.23
Dec 2014,134.86
Jan 2015,108.34
Feb 2015,126.23
Mar 2015,123.82
Apr 2015,134.67
May 2015,144.43
Jun 2015,141.63
Jul 2015,126.59
Aug 2015,105.85
Sep 2015,106.8
Oct 2015,108.35
Nov 2015,101.21
Dec 2015,85.53
Jan 2016,70.15
Feb 2016,72.26
Mar 2016,86.75
Apr 2016,93.79
May 2016,105.65
Jun 2016,109.86
Jul 2016,103.17
Aug 2016,103.94
Sep 2016,104.46
Oct 2016,115.85
Nov 2016,107.41
Dec 2016,126.7
Jan 2017,128.75
Feb 2017,130.13
Mar 2017,121.94
Apr 2017,124.52
May 2017,117.84
Jun 2017,108.21
Jul 2017,110.83
Aug 2017,114.85
Sep 2017,120.9
Oct 2017,126.43
Nov 2017,138.15
Dec 2017,140.34
Jan 2018,149.22
Feb 2018,141.81
Mar 2018,143.34
Apr 2018,153.86
May 2018,167.08
Jun 2018,165.24
Jul 2018,167.92
Aug 2018,165.28
Sep 2018,174.66
Oct 2018,179.06
Nov 2018,146.29
Dec 2018,126.08
Jan 2019,131.42
Feb 2019,142.53
Mar 2019,148.86
Apr 2019,160.45
May 2019,157.12
Jun 2019,139.92
Jul 2019,144.45
Aug 2019,136.17
Sep 2019,142.33
Oct 2019,135.55
Nov 2019,142.6
Dec 2019,149.22
Jan 2020,145.14
Feb 2020,126.53
Mar 2020,76.22
Apr 2020,50.45
May 2020,72.25
Jun 2020,92.83
Jul 2020,98.08
Aug 2020,99.85
Sep 2020,93.32
Oct 2020,91.57
Nov 2020,96.88
Dec 2020,110.07
Jan 2021,120.32
Feb 2021,136.26
Mar 2021,145.1
Apr 2021,142.87
May 2021,149.65
Jun 2021,162.28
Jul 2021,167.08
Aug 2021,157.23
Sep 2021,166.18
Oct 2021,188.48
Nov 2021,184.64
